"OID_","World Port Index Number","Region Name","Main Port Name","Alternate Port Name","UN/LOCODE","Country Code","World Water Body","IHO S-130 Sea Area","Sailing Direction or Publication","Publication Link","Standard Nautical Chart","IHO S-57 Electronic Navigational Chart","IHO S-101 Electronic Navigational Chart","Digital Nautical Chart","Tidal Range (m)","Entrance Width (m)","Channel Depth (m)","Anchorage Depth (m)","Cargo Pier Depth (m)","Oil Terminal Depth (m)","Liquified Natural Gas Terminal Depth (m)","Maximum Vessel Length (m)","Maximum Vessel Beam (m)","Maximum Vessel Draft (m)","Offshore Maximum Vessel Length (m)","Offshore Maximum Vessel Beam (m)","Offshore Maximum Vessel Draft (m)","Harbor Size","Harbor Type","Harbor Use","Shelter Afforded","Entrance Restriction - Tide","Entrance Restriction - Heavy Swell","Entrance Restriction - Ice","Entrance Restriction - Other","Overhead Limits","Underkeel Clearance Management System","Good Holding Ground","Turning Area","Port Security","Estimated Time of Arrival Message","Quarantine - Pratique","Quarantine - Sanitation","Quarantine - Other","Traffic Separation Scheme","Vessel Traffic Service","First Port of Entry","US Representative","Pilotage - Compulsory","Pilotage - Available","Pilotage - Local Assistance","Pilotage - Advisable","Tugs - Salvage","Tugs - Assistance","Communications - Telephone","Communications - Telefax","Communications - Radio","Communications - Radiotelephone","Communications - Airport","Communications - Rail","Search and Rescue","NAVAREA","Facilities - Wharves","Facilities - Anchorage","Facilities - Dangerous Cargo Anchorage","Facilities - Med Mooring","Facilities - Beach Mooring","Facilities - Ice Mooring","Facilities - Ro-Ro","Facilities - Solid Bulk","Facilities - Liquid Bulk","Facilities - Container","Facilities - Breakbulk","Facilities - Oil Terminal","Facilities - LNG Terminal","Facilities - Other","Medical Facilities","Garbage Disposal","Chemical Holding Tank Disposal","Degaussing","Dirty Ballast Disposal","Cranes - Fixed","Cranes - Mobile","Cranes - Floating","Cranes Container","Lifts - 100+ Tons","Lifts - 50-100 Tons","Lifts - 25-49 Tons","Lifts - 0-24 Tons","Services - Longshoremen","Services - Electricity","Services -Steam","Services - Navigation Equipment","Services - Electrical Repair","Services - Ice Breaking","Services -Diving","Supplies - Provisions","Supplies - Potable Water","Supplies - Fuel Oil","Supplies - Diesel Oil","Supplies - Aviation Fuel","Supplies - Deck","Supplies - Engine","Repairs","Dry Dock","Railway","Latitude","Longitude"
"47.0","60205.0","China Continued -- 59850","Suizhang Gang","","","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94420.0","","","coa23e, gen23a","0.0","0.0","11.0","0.0","12.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Open Roadstead","Unknown","None","No","No","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","40.066667000000002","121.049999999999997"
"88.0","60250.0","China Continued -- 59850","Dalian","Dairen; Dalian; Dalian Wan; Ta Cien; Ta Lien","CN DAL","China","Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94423.0","","","a2360240, coa23e, gen23a, h2360250","3.0","0.0","23.2","23.2","17.1","23.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Large","Coastal (Breakwater)","Unknown","Good","No","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Major","Medium","Medium","38.916666999999997","121.666667000000004"
"113.0","60240.0","China Continued -- 59850","Lushun","Port Arthur; Ryojun Ko","CN LSH","China","Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94421.0","","","a2360240, coa23e, gen23a, h2360240","5.0","0.0","7.9","9.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Coastal (Breakwater)","Unknown","Fair","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Medium","38.783332999999999","121.250000000000000"
"184.0","60133.0","China Continued -- 59850","Rizhao","Shijiu Zui; Shijiusuo","CN RZH","China","Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94280.0","","","coa23d, gen23a","5.0","0.0","14.0","17.1","11.0","4.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Coastal (Natural)","Unknown","Poor","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","35.383333000000000","119.566666999999995"
"204.0","57830.0","China -- 57815","Guangzhou","Canton; Kuaung Fhou","CN GGZ","China","South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","93728.0","","","gen23b, h2357825","2.0","0.0","12.5","11.0","12.5","9.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Medium","River (Natural)","Unknown","Good","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Major","Medium","Small","23.116667000000000","113.233333000000002"
"216.0","60170.0","China Continued -- 59850","Longkou Gang","Lungkow","CN LKU","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94420.0","","","coa23e, gen23a","1.0","0.0","11.0","14.0","9.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","Coastal (Natural)","Unknown","Fair","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","No","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Small","Unknown","37.633333000000000","120.283332999999999"
"217.0","60215.0","China Continued -- 59850","Jinzhou Wan","","CN JNZ","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94380.0","","","coa23e, gen23a, h2360210","2.0","0.0","12.5","9.4","14.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Open Roadstead","Unknown","Fair","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Limited","Unknown","Medium","40.750000000000000","121.099999999999994"
"222.0","57822.0","China -- 57815","Huangpu","","CN HUA","China","South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","93726.0","","","a2357825, gen23b, h2357825","2.0","0.0","9.4","9.4","7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","River (Natural)","Unknown","Fair","Yes","Yes","No","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Small","Small","23.083333000000000","113.416667000000004"
"223.0","60210.0","China Continued -- 59850","Huludao Gang","","CN HUD","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94380.0","","","coa23e, gen23a, h2360210","0.0","0.0","7.9","4.9","7.9","7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Coastal (Breakwater)","Unknown","Good","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Moderate","Large","Small","40.700000000000003","120.983333000000002"
"224.0","60230.0","China Continued -- 59850","Bayuquan","","CN BYQ","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94380.0","","","a2360220, coa23e, gen23a","8.0","0.0","14.0","11.0","11.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Open Roadstead","Unknown","Fair","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","No","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Small","40.299999999999997","122.083332999999996"
"234.0","60165.0","China Continued -- 59850","Penglai","","CN PLI","China","Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94420.0","","","coa23e, gen23a","2.0","0.0","3.4","4.9","7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Coastal (Natural)","Unknown","Fair","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","37.816667000000002","120.833332999999996"
